symbol,name,exchange,category,country,category_number
PBYI,"Puma Biotechnology, Inc.",NYQ,Biotechnology,USA,515
PC6.DE,PetroChina Co. Ltd.,GER,Major Integrated Oil & Gas,Germany,120
PCAR,PACCAR Inc.,NMS,Trucks & Other Vehicles,USA,331
PCAR3.SA,P.ACUCAR-CBD-ON  ED  N1,SAO,,Brazil,0
PCC,PMC Commercial Trust,ASE,REIT - Industrial,USA,444
PCCC,"PC Connection, Inc.",NMS,Catalog & Mail Order Houses,USA,739
PCF,Putnam High Income Securities Fund,NYQ,Closed-End Fund - Debt,USA,425
PCFO,N/A,PNK,,USA,0
PCG,PG&E; Corporation,NYQ,Electric Utilities,USA,911
PCG-PA,Pacific Gas & Electric Co. 6% P,ASE,,USA,0
PCH,Potlatch Corporation,NMS,REIT - Industrial,USA,444
PCI,PIMCO Dynamic Credit Income Fun,NYQ,,USA,0
PCK,Pimco California Municipal Inco,NYQ,,USA,0
PCL,Plum Creek Timber Co. Inc.,NYQ,"Lumber, Wood Production",USA,632
PCLN,priceline.com Incorporated,NMS,Business Services,USA,760
PCM,"PCM Fund, Inc. Common Stock",NYQ,,USA,0
PCMI,"PCM, Inc.",NGM,"Specialty Retail, Other",USA,745
PCN,Pimco Corporate & Income Strate,NYQ,,USA,0
PCO,Pendrell Corporation,NMS,Wireless Communications,USA,840
PCOGF,Pancontinental Oil & Gas NL,PNK,,USA,0
PCOLF,Pacific Online Ltd.,PNK,,USA,0
PCOM,Points International Ltd.,NCM,,USA,0
PCP,Precision Castparts Corp.,NYQ,Metal Fabrication,USA,626
PCQ,PIMCO California Municipal Inco,NYQ,,USA,0
PCRX,"Pacira Pharmaceuticals, Inc.",NMS,Drug Manufacturers - Major,USA,510
PCS,,,,,0
PCS.BE,SYNAXON,BER,"Specialty Retail, Other",Germany,745
PCS.MU,SYNAXON,MUN,"Specialty Retail, Other",Germany,745
PCTI,"PCTEL, Inc.",NGM,Wireless Communications,USA,840
PCU-UN.TO,PREMIER CANADIAN INCOME FUND,TOR,,Canada,0
PCU.BE,SOUTHERN COPPER,BER,Copper,Germany,131
PCWT,"Pacific Clean Water Technologies, Inc.",PNK,,USA,0
PCXCQ,Patriot Coal Corporation,PNK,,USA,0
PCYC,Pharmacyclics Inc.,NCM,Drug Manufacturers - Other,USA,511
PCYO,Pure Cycle Corporation,NCM,Water Utilities,USA,914
PD.TO,Precision Drilling Corporation,TOR,Oil & Gas Equipment & Services,Canada,124
PDCE,"PDC Energy, Inc.",NMS,Independent Oil & Gas,USA,121
PDCO,"Patterson Companies, Inc.",NMS,Medical Equipment Wholesale,USA,754
PDEX,Pro-Dex Inc.,NCM,Medical Instruments & Supplies,USA,520
PDFS,PDF Solutions Inc.,NMS,Technical & System Software,USA,822
PDG1.F,PORTS DESIGN,FRA,Textile - Apparel Clothing,Germany,320
PDH,PetroLogistics LP,NYQ,Chemicals - Major Diversified,USA,110
PDI,PIMCO Dynamic Income Fund Commo,NYQ,,USA,0
PDII,"PDI, Inc.",NGM,Business Services,USA,760
PDJ,Morgan Stanley,PCX,,USA,0
PDL.TO,North American Palladium Ltd.,TOR,Industrial Metals & Minerals,Canada,133
PDLI,"PDL BioPharma, Inc.",NMS,Biotechnology,USA,515
PDM,Piedmont Office Realty Trust Inc.,NYQ,REIT - Office,USA,441
PDMDF,Petra Diamonds Ltd.,PNK,,USA,0
PDN.AX,Paladin Energy Ltd,ASX,Industrial Metals & Minerals,Australia,133
PDO,Pyramid Oil Company,ASE,Independent Oil & Gas,USA,121
PDQ.V,Petrodorado Energy Ltd.,VAN,Independent Oil & Gas,Canada,121
PDS,Precision Drilling Corporation,NYQ,Oil & Gas Equipment & Services,USA,124
PDT,John Hancock Premium Dividend F,NYQ,,USA,0
PE5.MU,PEABODY ENERGY,MUN,Industrial Metals & Minerals,Germany,133
PEA.V,"Petrolia, Inc.",VAN,Independent Oil & Gas,Canada,121
PEB,Pebblebrook Hotel Trust,NYQ,REIT - Hotel/Motel,USA,443
PEBK,"Peoples Bancorp of North Carolina, Inc.",NGM,Regional - Mid-Atlantic Banks,USA,412
PEBO,Peoples Bancorp Inc.,NMS,Regional - Midwest Banks,USA,414
PEDH,"Peoples Educational Holdings, Inc.",PNK,Publishing - Books,USA,729
PEDXD,Quint Media Inc.,PNK,,USA,0
PEG,Public Service Enterprise Group Inc.,NYQ,Diversified Utilities,USA,913
PEGA,Pegasystems Inc.,NMS,Business Software & Services,USA,826
PEGI,Pattern Energy Group Inc.,NGM,Diversified Utilities,USA,913
PEI,Pennsylvania Real Estate Investment Trust,NYQ,REIT - Retail,USA,446
PEIW,"PEI Worldwide Holdings, Inc.",PNK,,USA,0
PEIX,"Pacific Ethanol, Inc.",NCM,Specialty Chemicals,USA,113
PEM.V,"Premium Exploration, Inc.",VAN,Industrial Metals & Minerals,Canada,133
PEN.AX,Peninsula Energy Limited,ASX,Industrial Metals & Minerals,Australia,133
PEN.OL,PANORO ENERGY,OSL,,Norway,0
PENGF,Primary Energy Recycling Corp.,PNK,,USA,0
PENN,Penn National Gaming Inc.,NMS,Resorts & Casinos,USA,711
PENX,Penford Corporation,NGM,Specialty Chemicals,USA,113
PEO,Petroleum & Resources Corporation,NYQ,Closed-End Fund - Equity,USA,426
PEO.SG,EXELON,STU,Diversified Utilities,Germany,913
PEOP,"Peoples Federal Bancshares, Inc.",NCM,Regional - Northeast Banks,USA,411
PEP,"Pepsico, Inc.",NYQ,Beverages - Soft Drinks,USA,348
PEP.V,Petrostar Petroleum Corp.,VAN,Independent Oil & Gas,Canada,121
PEQ.L,Private Equity Investor Ord,LSE,,United Kingdom,0
PER,SandRidge Permian Trust,NYQ,Independent Oil & Gas,USA,121
PER.V,Alexander Energy Ltd.,VAN,Independent Oil & Gas,Canada,121
PERF,"Perfumania Holdings, Inc.",NCM,"Specialty Retail, Other",USA,745
PERI,Perion Network Ltd,NGM,Business Software & Services,USA,826
PERY,Perry Ellis International Inc.,NMS,Textile - Apparel Clothing,USA,320
